tipo_elem;distrito;id;cod_cent;nombre;x;y;longitud;latitud
URB;0.0;4177;13034;Marques Valdavia, 9 O-E - Sta Maria Cabeza-Ronda Atocha;440982,318860494;4472994,46342326;-3.6955284532712653;40.40547235402384
URB;0.0;3692;13037;Jose Antonio Armona N-S - Sebastian Elcano-Sta Maria Cabeza;440852,064517499;4472944,86409814;-3.6970587949951725;40.405016294788446
URB;0.0;5424;43013;(AFOROS)Av,Ilustracion E-O - Centro Civico-Av,Betanzos;439730,39599613;4481359,58768476;-3.711075054854599;40.48073919096048
URB;0.0;3877;02025;(TACTICO) Marques Lozoya S-N - Entrada Alcalde Sainz Baranda;443338,395311419;4474242,69827557;-3.6678748730988078;40.41688082064121
URB;0.0;3891;02044;Av, Ciudad Barcelona E-O - Gutenberg-Julian Gayarre;442135,879561218;4472901,49980366;-3.6819261103138223;40.404715862602494
URB;0.0;4002;08001;Goya, 54 O-E - General PardiÑas-General Diaz Porlier;442463,544053523;4475137,41333573;-3.6782670829413666;40.42488084899538
URB;0.0;5082;08016;Goya E-O - General PardiÑas-Principe de Vergara;442419,261524346;4475145,56031098;-3.6787898095394413;40.42495117749948
URB;0.0;4016;08017;Jose Ortega y Gasset O-E - NuÑez de Balboa-Castello;442124,823853038;4475733,77553035;-3.682314100388581;40.43022968157517
URB;0.0;5425;43014;(AFOROS)Av,Ilustracion O-E - Av,Betanzos-Centro Civico;439731,14693176;4481347,95261854;-3.7110650898330544;40.48063443263524
URB;0.0;6418;64403;C/, Albaida - Albaida-Av, Canillejas a Vicalvaro;448067,026281344;4476102,27857809;-3.6122931640543694;40.43394159649854
URB;0.0;10244;66025;Av, Luis Aragones - San Hilario - Vial 4;448855,224531704;4476629,56940167;-3.6030431853686764;40.438740602306346
URB;0.0;6484;68002;C/, Timoteo Perez Rubio - Av, Entrevias-Timoteo Perez Rubio;442938,675765836;4470992,9295569;-3.6722947783059126;40.38757779552322
URB;0.0;6487;68005;Ronda del Sur - Cooperativa Electrica-Av, Entrevias;443919,57138707;4469676,78159863;-3.660622795493048;40.375787745140826
URB;0.0;3886;02042;Dr, Esquerdo S-N - Estrella Polar-Astros;443165,854873855;4473478,54802926;-3.6698402242534818;40.40998517698973
URB;0.0;4171;13301;Pº del Prado S-N (Neptuno-Pl Lealtad) -  (Neptuno-Pl Lealtad);441153,96025796;4474199,31038467;-3.69361721606728;40.4163383672832
URB;0.0;7138;13727;(AFOROS) Pº del Prado S-N - Espalter-Pl,Canova Castillo;441211,412805312;4473790,40970582;-3.6929022835928937;40.412658847768064
URB;0.0;4243;15002;Pº Prado S-N - Pl, Canovas del Castillo-Pl, Cibeles;441173,389681221;4474307,68285623;-3.6933982402373564;40.41731601331004
URB;0.0;4247;15007;Alcala E-O - Barquillo-Gran Via;440981,466807824;4474502,72678194;-3.6956784049619866;40.419059474796605
URB;0.0;4248;15008;Alcala E-O - Gran Via-Cedaceros;440824,05629926;4474441,31667505;-3.6975280308006457;40.41849508424054
URB;0.0;4249;15009;(MICRO) Alcala O-E - Gran Via-Marques de Cubas(P,M,1);440951,057147332;4474472,78929703;-3.6960340530237636;40.418787626198444
URB;0.0;4250;15010;Alcala O-E - Cedaceros-Gran Via;440742,570643879;4474401,15347607;-3.698484721956035;40.4181274764549
URB;0.0;5568;61057;Pº de la Habana N-S - Jose Rdguez,Pinilla-Pl,Presidente Cardenas;442298,679816141;4479193,9676842;-3.680578920761644;40.46141279722171
URB;0.0;4687;35057;POETA CLAUDIO RODRIGUEZ S-N (CLARA DEL REY-CORAZSN DE MARIA);443054,342241027;4476898,62461819;-3.671460728338074;40.44078738089085
URB;0.0;4195;13055;Caceres O-E - Sta,Mª Cabeza-Fernando Poo;440529,362207838;4472282,03708329;-3.700799650113292;40.399022229471406
